student_id,age,gender,year_of_study,faculty,avg_sleep_hours,study_hours,free_time_hours,part_time_job,stress_level,internet_hours,sport,avg_grades_numeric,weight,fav_subject,dislike_subject
1,23,Муж,4,ФИиВТ,3.0,4,4.633776880932098,Да,9.28757200909596,7,Да,50.0,67.7576868037256,история,математика
2,20,Жен,4,ФБМТ,6.180395166330497,2,6.4137990974514985,Нет,9.07499870958827,7,Да,100.0,62.99556774338302,физика,история
3,21,Муж,3,ФБМТ,3.0,6,1.8147123411222916,Нет,5.484327335983364,7,Да,50.0,70.61989332865264,математика,философия
4,23,Муж,1,ФЭУ,3.0,7,0.8701793002665739,Да,5.820970324784704,8,Нет,50.0,73.24014419714395,математика,история
5,19,Жен,4,ФХТ,8.528103564970161,5,3.0438114719791094,Нет,4.654800461278577,1,Нет,90.190017390841,68.65803431302375,литература,литература
6,24,Муж,4,ФХТ,4.648395817139159,2,5.852997998371511,Нет,7.505466189873135,4,Нет,70.60015663359131,73.84304908520534,экономика,химия
7,21,Жен,2,ФХТ,3.0,6,2.9638791167949097,Нет,6.15070593385787,6,Да,50.0,65.20356653158221,математика,математика
8,21,Жен,4,ФБМТ,6.76159335005554,6,4.210523001591351,Да,8.809424811472425,9,Нет,84.88603717400797,72.55832102536665,экономика,история
9,23,Жен,4,ФБМТ,7.553703348904551,7,0.4425082149921664,Да,2.7541072116282783,2,Да,78.71311731288327,66.45419845188343,экономика,физика
10,18,Муж,2,ФБМТ,4.307868606269649,4,2.630197020420922,Да,7.316608065631751,1,Да,51.65707963061205,62.46093003502738,литература,история
11,19,Муж,3,ФИиВТ,3.4302367441798727,6,1.9117179516487453,Нет,10.0,2,Нет,61.9961156130264,68.06935050304762,информатика,физика
12,23,Муж,4,ФЭУ,3.0,6,4.579709337654318,Нет,8.543562082600912,7,Да,50.0,68.08988245274348,информатика,философия
13,19,Муж,2,ФБМТ,6.616439143106795,6,1.1963254320302692,Да,1.2937813126797812,3,Да,67.58406768850313,63.99567400368038,химия,математика
14,19,Муж,1,ФЭУ,5.04128997524415,6,3.6391168054440675,Нет,7.580751762603051,2,Нет,77.86993381645016,68.78905461027401,литература,история
15,24,Муж,3,ФЭУ,6.375654436908227,3,6.677700814076441,Нет,5.82813689633967,7,Нет,73.8711716849883,67.13463226195194,химия,биология
16,21,Муж,1,ФХТ,3.903672788009996,3,4.4464117582920055,Нет,3.4542798528882614,2,Нет,50.0,71.27079719678038,химия,история
17,20,Жен,1,ФИиВТ,5.345487475819125,4,4.5689830791852755,Нет,3.5833850046777695,3,Да,61.12225909279986,71.18757475772944,информатика,биология
18,24,Муж,2,ФБМТ,6.167438893024909,2,7.628396623128538,Нет,5.295941571363731,7,Нет,75.23549151306077,66.79740125723718,литература,математика
19,24,Жен,4,ФХТ,3.731440634333706,6,1.6208722590125129,Да,2.7357312442805344,4,Нет,50.0,70.07265837001827,информатика,история
20,19,Муж,2,ФХТ,6.986736928742663,7,0.7964196398976382,Нет,1.2590754772511805,1,Да,67.7055786856553,69.23666166624629,химия,физика
21,22,Муж,2,ФБМТ,8.790510779351854,2,5.418319086051357,Да,1.7256375461295193,5,Нет,95.39340416715648,69.76107582626285,литература,история
22,21,Муж,2,ФЭУ,4.851584026022077,7,0.0,Нет,6.846422450570557,9,Нет,69.80745765249647,71.35711538874921,химия,химия
23,18,Жен,2,ФХТ,4.9998439758763205,2,5.350722454933993,Да,5.6799281959987,8,Нет,59.1368635002959,66.81281941555936,история,философия
24,24,Жен,3,ФЭУ,3.0,4,2.7760597332377435,Нет,10.0,9,Да,54.41829968743336,66.28492129162295,экономика,литература
25,20,Жен,4,ФИиВТ,7.135691659125122,6,2.034083468259226,Да,4.4328539204323505,9,Да,83.2616143920671,64.43856720498636,литература,физика
