class,precision,recall,f1-score,support
Климат,0.8728557013118062,0.9291084854994629,0.9001040582726326,931
Конфликты,0.7657817109144542,0.8320512820512821,0.797542242703533,1560
Культура,0.8898525585429314,0.9193548387096774,0.9043631555751432,1116
Экономика,0.8633720930232558,0.8905547226386806,0.8767527675276753,1334
Глянец,0.9063376332024677,0.8075962018990505,0.854122621564482,2001
Здоровье,0.8843797856049005,0.9299516908212561,0.9065934065934066,1242
Политика,0.7814614343707713,0.832732516222062,0.806282722513089,1387
Наука,0.9159802306425041,0.8694292415949961,0.8920978740473325,1279
Общество,0.7659362549800797,0.6324013157894737,0.6927927927927928,1216
Спорт,0.9499596448748991,0.9841137123745819,0.966735112936345,1196
Путешествия,0.9188034188034188,0.9419496166484118,0.9302325581395349,913
