class,precision,recall,f1-score,support
Климат,0.8797071129707112,0.9033297529538131,0.8913619501854796,931
Конфликты,0.7723132969034608,0.8153846153846154,0.7932647333956969,1560
Культура,0.9007971656333038,0.9112903225806451,0.9060133630289532,1116
Экономика,0.86608442503639,0.8920539730134932,0.8788774002954209,1334
Глянец,0.8872628726287263,0.8180909545227386,0.8512740509620385,2001
Здоровье,0.8862042088854248,0.9154589371980676,0.9005940594059406,1242
Политика,0.7827278958190541,0.8233597692862292,0.8025298664792692,1387
Наука,0.9016921837228042,0.8749022673964034,0.888095238095238,1279
Общество,0.7327102803738318,0.6447368421052632,0.6859142607174104,1216
Спорт,0.9531123686337915,0.9857859531772575,0.969173859432799,1196
Путешествия,0.9207708779443254,0.9419496166484118,0.9312398484028154,913
