class,precision,recall,f1-score,support
Климат,0.8753959873284055,0.8904403866809882,0.8828541001064962,931
Конфликты,0.750733137829912,0.8205128205128205,0.7840735068912711,1560
Культура,0.8918439716312057,0.9014336917562724,0.8966131907308378,1116
Экономика,0.851528384279476,0.8770614692653673,0.8641063515509602,1334
Глянец,0.8557640750670241,0.7976011994002998,0.8256595964821521,2001
Здоровье,0.8791893998441154,0.9082125603864735,0.8934653465346535,1242
Политика,0.7663043478260869,0.8132660418168709,0.789087093389297,1387
Наука,0.9058629232039637,0.8577013291634089,0.8811244979919679,1279
Общество,0.7252543940795559,0.6447368421052632,0.6826295167609926,1216
Спорт,0.9539852095316351,0.9707357859531772,0.9622876087857439,1196
Путешествия,0.9282511210762332,0.9069003285870756,0.9174515235457064,913
