class,precision,recall,f1-score,support
Климат,0.851380042462845,0.8614393125671321,0.8563801388147357,931
Конфликты,0.6683595733875064,0.8435897435897436,0.7458203457069992,1560
Культура,0.8757062146892656,0.8333333333333334,0.8539944903581267,1116
Экономика,0.790994623655914,0.8823088455772113,0.8341601700921333,1334
Глянец,0.7868117797695262,0.6141929035482259,0.6898680886893067,2001
Здоровье,0.8444767441860465,0.9355877616747182,0.8877005347593583,1242
Политика,0.6969325153374233,0.8190338860850757,0.7530659595624792,1387
Наука,0.911587982832618,0.8303362001563722,0.8690671031096563,1279
Общество,0.6762513312034079,0.522203947368421,0.5893271461716937,1216
Спорт,0.9232613908872902,0.9657190635451505,0.9440130772374336,1196
Путешествия,0.9152970922882427,0.7929901423877328,0.8497652582159625,913
