class,precision,recall,f1-score,support
Климат,0.8417190775681341,0.8625134264232008,0.8519893899204244,931
Конфликты,0.7370689655172413,0.7673076923076924,0.7518844221105527,1560
Культура,0.8572679509632224,0.8772401433691757,0.8671390611160319,1116
Экономика,0.8469985358711567,0.8673163418290855,0.857037037037037,1334
Глянец,0.8788621873467386,0.895552223888056,0.8871287128712871,2001
Здоровье,0.8777955271565495,0.8848631239935588,0.8813151563753007,1242
Политика,0.7538354253835425,0.779379956741168,0.7663948954271534,1387
Наука,0.8770358306188925,0.8420641125879593,0.8591942560829677,1279
Общество,0.6960309777347532,0.5912828947368421,0.6393952867941307,1216
Спорт,0.9773489932885906,0.9740802675585284,0.97571189279732,1196
Путешествия,0.8814489571899012,0.8795180722891566,0.8804824561403509,913
