class,precision,recall,f1-score,support
Климат,0.8496993987975952,0.9108485499462943,0.8792120269569725,931
Конфликты,0.7775061124694377,0.8153846153846154,0.7959949937421777,1560
Культура,0.9056768558951965,0.9292114695340502,0.9172932330827067,1116
Экономика,0.9049056603773585,0.8988005997001499,0.9018427980443776,1334
Глянец,0.962351727694688,0.9325337331334332,0.9472081218274112,2001
Здоровье,0.8895027624309392,0.9074074074074074,0.8983658828218414,1242
Политика,0.8100282485875706,0.8269646719538573,0.818408847663218,1387
Наука,0.8949919224555735,0.8663017982799062,0.8804131903059197,1279
Общество,0.7373831775700934,0.6488486842105263,0.6902887139107612,1216
Спорт,0.9768211920529801,0.9866220735785953,0.9816971713810316,1196
Путешествия,0.9088960342979635,0.9288061336254108,0.9187432286023836,913
